# MJD	Filter	Magnitude	Mag_Err	Source
60084.00	U	11.323	0.059	PSF
60104.00	I	11.134	0.042	PSF
60104.00	B	11.784	0.050	PSF
60104.00	B	11.786	0.069	PSF
60104.00	B	11.788	0.061	PSF
60104.00	V	11.450	0.061	PSF
60104.00	V	11.452	0.059	PSF
60104.00	V	11.452	0.061	PSF
60104.00	V	11.443	0.059	PSF
60104.00	R	11.241	0.046	PSF
60104.00	R	11.248	0.050	PSF
60104.00	R	11.250	0.044	PSF
60104.00	R	11.236	0.047	PSF
60104.00	I	11.113	0.041	PSF
60104.00	U	11.241	0.039	PSF
60104.00	I	11.134	0.045	PSF
60315.00	U	17.692	0.062	PSF
60315.00	U	17.658	0.063	PSF
60322.00	U	17.668	0.256	PSF
60356.00	U	17.813	0.060	PSF
60356.00	U	17.790	0.058	PSF
60356.00	I	15.662	0.239	PSF
60381.00	U	17.977	0.064	PSF
60381.00	I	16.066	0.306	PSF
60458.00	V	17.952	0.051	PSF
60084.00	U	11.319	0.076	PSF
60104.00	B	11.787	0.056	PSF
60104.00	I	11.121	0.043	PSF
60104.00	U	11.254	0.065	PSF
60091.00	U	10.170	0.256	PSF
60084.00	B	12.394	0.058	PSF
60104.00	U	11.259	0.075	PSF
60084.00	V	12.466	0.078	PSF
60084.00	V	12.464	0.077	PSF
60084.00	R	12.499	0.061	PSF
60084.00	R	12.501	0.054	PSF
60084.00	I	12.634	0.052	PSF
60086.00	R	11.257	0.061	PSF
60086.00	R	11.263	0.044	PSF
60091.00	U	10.339	0.064	PSF
60091.00	U	10.190	0.245	PSF
60086.00	R	11.254	0.057	PSF
60102.00	B	11.670	0.058	PSF
60091.00	B	11.297	0.059	PSF
60091.00	B	11.295	0.062	PSF
60091.00	V	11.046	0.627	PSF
60104.00	U	11.264	0.033	PSF
60100.00	B	11.544	0.042	PSF
60100.00	B	11.579	0.052	PSF
60102.00	U	11.093	0.057	PSF
60102.00	V	11.385	0.064	PSF
60102.00	R	11.186	0.054	PSF
60091.00	B	11.296	0.067	PSF
60347.00	R	15.687	0.045	Aperture
60347.00	R	15.684	0.045	Aperture
60461.00	R	17.348	0.051	Aperture
60347.00	R	15.709	0.043	Aperture
60356.00	R	15.865	0.050	Aperture
60322.00	R	15.375	0.065	Aperture
60356.00	R	15.838	0.045	Aperture
60458.00	R	17.265	0.045	Aperture
60381.00	R	16.208	0.052	Aperture
60409.00	R	16.556	0.067	Aperture
60409.00	R	16.699	0.058	Aperture
60458.00	R	17.374	0.042	Aperture
60315.00	R	15.297	0.044	Aperture
60322.00	R	15.371	0.059	Aperture
60086.00	R	11.260	0.077	Aperture
60315.00	R	15.293	0.047	Aperture
60296.00	R	15.027	0.044	Aperture
60296.00	R	15.033	0.044	Aperture
60104.00	R	11.268	0.050	Aperture
60104.00	R	11.266	0.047	Aperture
60104.00	R	11.281	0.069	Aperture
60104.00	R	11.275	0.073	Aperture
60102.00	R	11.218	0.038	Aperture
60091.00	R	11.100	0.053	Aperture
60091.00	R	11.117	0.054	Aperture
60086.00	R	11.298	0.052	Aperture
60086.00	R	11.295	0.047	Aperture
60084.00	R	12.542	0.049	Aperture
60084.00	R	12.531	0.036	Aperture
60084.00	I	12.632	0.050	Aperture
60461.00	R	17.301	0.050	Aperture
60356.00	I	15.746	0.062	Aperture
60084.00	I	12.667	0.047	Aperture
60104.00	I	11.151	0.064	Aperture
60461.00	I	17.953	0.073	Aperture
60409.00	I	16.991	0.084	Aperture
60409.00	I	17.537	0.069	Aperture
60381.00	I	16.169	0.052	Aperture
60356.00	I	15.742	0.063	Aperture
60356.00	I	15.743	0.063	Aperture
60409.00	V	17.757	0.052	Aperture
60347.00	I	15.624	0.057	Aperture
60347.00	I	15.619	0.057	Aperture
60347.00	I	15.586	0.042	Aperture
60315.00	I	15.094	0.056	Aperture
60315.00	I	15.124	0.060	Aperture
60296.00	I	14.817	0.064	Aperture
60296.00	I	14.825	0.064	Aperture
60104.00	I	11.154	0.055	Aperture
60086.00	I	11.422	0.067	Aperture
60104.00	I	11.154	0.065	Aperture
60104.00	I	11.145	0.050	Aperture
60102.00	I	11.090	0.051	Aperture
60091.00	I	11.093	0.067	Aperture
60091.00	I	11.098	0.063	Aperture
60086.00	I	11.408	0.072	Aperture
60086.00	I	11.432	0.062	Aperture
60086.00	I	11.413	0.050	Aperture
60086.00	I	11.413	0.063	Aperture
60086.00	I	11.399	0.078	Aperture
60086.00	I	11.404	0.070	Aperture
60086.00	I	11.408	0.070	Aperture
60086.00	I	11.404	0.068	Aperture
60086.00	I	11.394	0.071	Aperture
60458.00	V	18.585	0.058	Aperture
60084.00	V	12.471	0.050	Aperture
60381.00	V	17.059	0.049	Aperture
60322.00	B	17.180	0.045	Aperture
60315.00	B	17.119	0.057	Aperture
60296.00	B	16.971	0.047	Aperture
60296.00	B	17.006	0.047	Aperture
60296.00	B	16.995	0.047	Aperture
60104.00	B	11.803	0.096	Aperture
60104.00	B	11.801	0.090	Aperture
60104.00	B	11.798	0.083	Aperture
60104.00	B	11.800	0.075	Aperture
60102.00	B	11.671	0.079	Aperture
60100.00	B	11.594	0.063	Aperture
60100.00	B	11.572	0.046	Aperture
60091.00	B	11.283	0.062	Aperture
60091.00	B	11.282	0.053	Aperture
60091.00	B	11.276	0.057	Aperture
60084.00	B	12.350	0.055	Aperture
60084.00	B	12.291	0.059	Aperture
60322.00	U	17.491	0.063	Aperture
60322.00	U	17.524	0.071	Aperture
60315.00	U	17.569	0.059	Aperture
60104.00	U	11.195	0.054	Aperture
60104.00	U	11.302	0.087	Aperture
60104.00	U	11.296	0.159	Aperture
60104.00	U	11.275	0.123	Aperture
60102.00	U	11.084	0.117	Aperture
60091.00	U	10.342	0.053	Aperture
60091.00	U	10.390	0.081	Aperture
60091.00	U	10.351	0.110	Aperture
60084.00	U	11.343	0.059	Aperture
60084.00	U	11.318	0.068	Aperture
60315.00	B	17.180	0.061	Aperture
60322.00	B	17.146	0.056	Aperture
60356.00	V	16.768	0.047	Aperture
60347.00	B	17.440	0.046	Aperture
60356.00	V	16.739	0.060	Aperture
60356.00	V	16.760	0.060	Aperture
60347.00	V	16.672	0.051	Aperture
60347.00	V	16.667	0.051	Aperture
60347.00	V	16.680	0.051	Aperture
60347.00	V	16.657	0.066	Aperture
60347.00	V	16.633	0.066	Aperture
60347.00	V	16.670	0.066	Aperture
60322.00	V	16.370	0.051	Aperture
60322.00	V	16.354	0.056	Aperture
60315.00	V	16.274	0.043	Aperture
60315.00	V	16.295	0.042	Aperture
60296.00	V	16.015	0.047	Aperture
60296.00	V	16.045	0.047	Aperture
60104.00	V	11.480	0.068	Aperture
60104.00	V	11.470	0.059	Aperture
60104.00	V	11.469	0.055	Aperture
60104.00	V	11.488	0.056	Aperture
60102.00	V	11.382	0.055	Aperture
60091.00	V	11.118	0.043	Aperture
60091.00	V	11.121	0.059	Aperture
60091.00	V	11.120	0.057	Aperture
60084.00	V	12.475	0.042	Aperture
60381.00	B	17.837	0.043	Aperture
60356.00	B	17.494	0.051	Aperture
60356.00	B	17.507	0.052	Aperture
60347.00	B	17.406	0.049	Aperture
60347.00	B	17.477	0.049	Aperture
60347.00	B	17.447	0.046	Aperture
60461.00	I	17.437	0.069	Aperture
