# MJD	Filter	Magnitude	Mag_Err	Source
60255.00	U	17.637	0.042	Aperture
60265.00	R	15.739	0.056	Aperture
60299.00	R	16.215	0.103	Aperture
60299.00	R	16.236	0.097	Aperture
60296.00	R	16.252	0.062	Aperture
60294.00	R	16.217	0.081	Aperture
60294.00	R	16.190	0.067	Aperture
60269.00	R	15.879	0.074	Aperture
60265.00	R	15.761	0.070	Aperture
60257.00	R	15.663	0.118	Aperture
60315.00	R	16.535	0.076	Aperture
60255.00	R	15.724	0.075	Aperture
60255.00	R	15.697	0.077	Aperture
60324.00	V	17.763	0.052	Aperture
60322.00	V	17.802	0.055	Aperture
60315.00	V	17.591	0.055	Aperture
60315.00	V	17.599	0.053	Aperture
60308.00	V	17.528	0.056	Aperture
60308.00	R	16.430	0.071	Aperture
60322.00	R	16.607	0.062	Aperture
60299.00	V	17.233	0.064	Aperture
60296.00	I	16.050	0.056	Aperture
60322.00	I	16.514	0.065	Aperture
60315.00	I	16.339	0.085	Aperture
60315.00	I	16.381	0.080	Aperture
60308.00	I	16.248	0.080	Aperture
60299.00	I	16.031	0.094	Aperture
60299.00	I	16.063	0.099	Aperture
60296.00	I	16.053	0.056	Aperture
60294.00	I	15.990	0.077	Aperture
60324.00	R	16.689	0.084	Aperture
60294.00	I	15.410	0.072	Aperture
60269.00	I	15.538	0.075	Aperture
60265.00	I	15.410	0.109	Aperture
60265.00	I	15.408	0.088	Aperture
60265.00	I	15.423	0.096	Aperture
60257.00	I	15.286	0.100	Aperture
60255.00	I	15.312	0.078	Aperture
60299.00	V	17.313	0.069	Aperture
60296.00	V	17.268	0.042	Aperture
60255.00	U	17.481	0.044	Aperture
60265.00	B	17.396	0.045	Aperture
60294.00	B	17.936	0.051	Aperture
60294.00	B	17.886	0.039	Aperture
60269.00	B	17.457	0.047	Aperture
60269.00	B	17.448	0.047	Aperture
60269.00	B	17.479	0.045	Aperture
60269.00	B	17.477	0.047	Aperture
60269.00	B	17.482	0.045	Aperture
60265.00	B	17.397	0.053	Aperture
60294.00	B	17.916	0.051	Aperture
60265.00	B	17.414	0.047	Aperture
60257.00	B	17.269	0.051	Aperture
60257.00	B	17.263	0.052	Aperture
60257.00	B	17.276	0.053	Aperture
60255.00	B	17.238	0.059	Aperture
60255.00	B	17.237	0.053	Aperture
60269.00	U	17.668	0.040	Aperture
60294.00	B	17.909	0.051	Aperture
60299.00	B	17.990	0.048	Aperture
60294.00	V	17.235	0.043	Aperture
60257.00	V	16.477	0.046	Aperture
60294.00	V	17.213	0.043	Aperture
60269.00	V	16.707	0.054	Aperture
60269.00	V	16.702	0.054	Aperture
60265.00	V	16.644	0.059	Aperture
60265.00	V	16.602	0.058	Aperture
60265.00	V	16.637	0.052	Aperture
60257.00	V	16.493	0.054	Aperture
60257.00	V	16.452	0.074	Aperture
60299.00	B	17.980	0.056	Aperture
60255.00	V	16.463	0.055	Aperture
60255.00	V	16.466	0.061	Aperture
60322.00	B	18.338	0.053	Aperture
60322.00	B	18.434	0.054	Aperture
60322.00	B	18.435	0.054	Aperture
60315.00	B	18.300	0.054	Aperture
60315.00	B	18.282	0.046	Aperture
60322.00	I	16.597	0.074	Aperture
