# MJD	Filter	Magnitude	Mag_Err	Source
60255.00	B	18.528	0.009	PSF
60269.00	I	17.108	0.013	PSF
60269.00	B	19.147	0.030	PSF
60269.00	B	19.026	0.029	PSF
60269.00	B	18.994	0.027	PSF
60269.00	B	19.051	0.027	PSF
60269.00	V	17.920	0.011	PSF
60269.00	R	17.379	0.008	PSF
60294.00	V	19.368	0.021	PSF
60257.00	I	16.864	0.006	PSF
60294.00	R	18.603	0.012	PSF
60294.00	I	18.319	0.021	PSF
60296.00	R	18.462	0.016	PSF
60296.00	I	18.151	0.023	PSF
60308.00	I	18.397	0.020	PSF
60255.00	B	18.540	0.010	PSF
60257.00	I	16.856	0.006	PSF
60308.00	R	18.703	0.012	PSF
60257.00	I	16.816	0.006	PSF
60257.00	B	18.616	0.011	PSF
60257.00	R	17.031	0.004	PSF
60255.00	V	17.496	0.005	PSF
60255.00	R	16.938	0.004	PSF
60255.00	R	17.043	0.004	PSF
60255.00	I	16.853	0.007	PSF
60255.00	I	16.802	0.007	PSF
60255.00	V	17.468	0.005	PSF
60257.00	B	18.608	0.011	PSF
60257.00	V	17.547	0.005	PSF
60257.00	V	17.512	0.005	PSF
60257.00	V	17.539	0.005	PSF
60257.00	R	17.039	0.004	PSF
60257.00	B	18.588	0.011	PSF
60257.00	R	17.033	0.004	PSF
60255.00	R	17.058	0.045	Aperture
60269.00	R	17.474	0.056	Aperture
60257.00	R	17.063	0.074	Aperture
60257.00	R	17.053	0.074	Aperture
60257.00	R	17.085	0.043	Aperture
60257.00	R	17.062	0.046	Aperture
60308.00	V	19.953	0.037	Aperture
60255.00	R	17.064	0.060	Aperture
60308.00	V	19.542	0.045	Aperture
60308.00	V	19.629	0.043	Aperture
60296.00	V	19.391	0.056	Aperture
60296.00	V	19.425	0.063	Aperture
60296.00	V	19.647	0.054	Aperture
60269.00	R	17.484	0.056	Aperture
60257.00	I	16.861	0.080	Aperture
60294.00	R	18.660	0.045	Aperture
60296.00	R	18.842	0.041	Aperture
60308.00	R	18.736	0.038	Aperture
60308.00	R	18.806	0.038	Aperture
60255.00	I	16.908	0.061	Aperture
60255.00	I	16.920	0.061	Aperture
60255.00	I	16.901	0.056	Aperture
60257.00	I	16.878	0.067	Aperture
60257.00	I	16.853	0.049	Aperture
60257.00	I	16.872	0.049	Aperture
60269.00	I	17.230	0.091	Aperture
60294.00	I	18.569	0.047	Aperture
60294.00	I	18.712	0.047	Aperture
60296.00	I	18.491	0.050	Aperture
60269.00	V	18.042	0.046	Aperture
60294.00	V	19.391	0.042	Aperture
60269.00	B	19.297	0.049	Aperture
60257.00	V	17.570	0.050	Aperture
60257.00	V	17.560	0.046	Aperture
60255.00	U	19.557	0.041	Aperture
60255.00	U	19.621	0.038	Aperture
60255.00	B	18.551	0.049	Aperture
60255.00	B	18.578	0.049	Aperture
60255.00	B	18.579	0.049	Aperture
60255.00	B	18.610	0.045	Aperture
60255.00	B	18.624	0.045	Aperture
60257.00	B	18.635	0.045	Aperture
60257.00	B	18.713	0.057	Aperture
60257.00	B	18.586	0.045	Aperture
60257.00	B	18.596	0.049	Aperture
60257.00	B	18.570	0.049	Aperture
60257.00	B	18.713	0.057	Aperture
60269.00	B	19.357	0.051	Aperture
60269.00	B	19.164	0.050	Aperture
60269.00	B	19.270	0.050	Aperture
60269.00	B	19.281	0.041	Aperture
60294.00	B	20.715	0.049	Aperture
60296.00	B	20.330	0.049	Aperture
60296.00	B	21.186	0.047	Aperture
60296.00	B	20.611	0.046	Aperture
60255.00	V	17.541	0.040	Aperture
60255.00	V	17.558	0.040	Aperture
60255.00	V	17.528	0.036	Aperture
60255.00	V	17.546	0.036	Aperture
60257.00	V	17.601	0.051	Aperture
60257.00	V	17.586	0.050	Aperture
60257.00	V	17.575	0.051	Aperture
60257.00	V	17.575	0.046	Aperture
60308.00	I	18.633	0.046	Aperture
