# MJD	Filter	File	Magnitude	Mag_Err	ZP_Mean	ZP_Std	N_ZP
59895.00	B	2022wpy_B_1	17.186	0.012	-3.098	0.087	149
59895.00	B	2022wpy_B_2	17.142	0.012	-3.175	0.297	158
59895.00	V	2022wpy_V_1	16.096	0.005	-2.639	0.227	173
59895.00	V	2022wpy_V_2	16.037	0.005	-2.676	0.349	177
59895.00	R	2022wpy_R_1	15.772	0.004	-2.288	0.187	162
59895.00	R	2022wpy_R_2	15.652	0.004	-2.406	0.380	174
59895.00	I	2022wpy_I_1	15.658	0.006	-2.770	0.067	163
59895.00	I	2022wpy_I_2	15.593	0.006	-2.817	0.273	171
59896.00	B	2022wpy_B_1	17.293	0.010	-3.029	0.161	161
59896.00	V	2022wpy_V_1	16.236	0.004	-2.538	0.149	165
59896.00	R	2022wpy_R_1	15.776	0.003	-2.292	0.407	162
59896.00	I	2022wpy_I_1	15.663	0.006	-2.905	0.068	164
59899.00	U	2022wpy_U_1	17.659	0.023	-5.044	0.216	58
59899.00	U	2022wpy_U_2	17.628	0.022	-4.988	0.087	57
59899.00	B	2022wpy_B_1	17.490	0.008	-2.980	0.152	162
59899.00	B	2022wpy_B_2	17.516	0.008	-2.954	0.115	161
59899.00	V	2022wpy_V_1	16.373	0.004	-2.571	0.258	173
59899.00	V	2022wpy_V_2	16.428	0.004	-2.538	0.192	169
59899.00	R	2022wpy_R_1	15.896	0.002	-1.543	0.387	157
59899.00	R	2022wpy_R_2	15.882	0.002	-1.557	0.437	164
59899.00	I	2022wpy_I_1	15.595	0.003	-2.045	0.452	164
59899.00	I	2022wpy_I_2	15.632	0.003	-2.007	0.392	161
59910.00	U	SN2022wpy_U_01_1	18.177	0.027	-5.071	0.191	62
59910.00	U	SN2022wpy_U_02_1	18.144	0.026	-5.100	0.159	60
59910.00	B	SN2022wpy_B_02_1	17.989	0.009	-3.012	0.173	165
59910.00	V	SN2022wpy_V_01_1	16.948	0.005	-2.554	0.307	173
59910.00	V	SN2022wpy_V_02_1	16.955	0.005	-2.550	0.413	169
59910.00	R	SN2022wpy_R_01_1	16.596	0.003	-2.245	0.309	161
59910.00	R	SN2022wpy_R_02_1	16.653	0.004	-2.220	0.284	158
59910.00	I	SN2022wpy_I_01_1	16.421	0.006	-2.704	0.247	157
59910.00	I	SN2022wpy_I_02_1	16.435	0.006	-2.662	0.316	155
59911.00	U	SN2022wpy_U_02_1	18.167	0.027	-5.075	0.276	64
59911.00	B	SN2022wpy_B_01_1	17.999	0.009	-2.997	0.202	164
59911.00	B	SN2022wpy_B_02_1	17.975	0.009	-3.021	0.094	163
59911.00	V	SN2022wpy_V_02_1	16.990	0.005	-2.574	0.301	168
59911.00	R	SN2022wpy_R_01_1	16.661	0.004	-2.236	0.258	158
59911.00	R	SN2022wpy_R_02_1	16.667	0.004	-2.237	0.237	157
59911.00	I	SN2022wpy_I_01_1	16.443	0.006	-2.712	0.218	162
59911.00	I	SN2022wpy_I_02_1	16.462	0.006	-2.707	0.185	160
59915.00	B	2022wpy_B_1_1	18.107	0.016	-3.055	0.094	156
59915.00	B	2022wpy_B_2_1	18.078	0.018	-3.148	0.102	158
