# MJD	Filter	File	Magnitude	Mag_Err	ZP_Mean	ZP_Std	N_ZP
59977.00	U	2023axu_U_01-02_1	14.344	0.004	-5.135	0.126	116
59977.00	U	2023axu_U_01-02_2	14.329	0.004	-5.176	0.165	116
59977.00	B	2023axu_B_01-02_1	15.056	0.002	-3.044	0.257	501
59977.00	B	2023axu_B_01-02_2	15.058	0.002	-3.059	0.262	501
59977.00	V	2023axu_V_01-02_1	14.617	0.002	-2.606	0.263	501
59977.00	V	2023axu_V_01-02_2	14.614	0.002	-2.613	0.253	501
59977.00	R	2023axu_R_01-02_1	14.232	0.002	-2.324	0.364	501
59977.00	R	2023axu_R_01-02_2	14.211	0.002	-2.348	0.451	501
59977.00	I	2023axu_I_01-02_1	13.970	0.002	-2.820	0.366	501
59977.00	I	2023axu_I_01-02_2	13.968	0.002	-2.816	0.419	501
59983.00	U	SN2023axu_U_01_02_1	14.650	0.005	-5.253	0.123	117
59983.00	U	SN2023axu_U_01_02_2	14.656	0.006	-5.450	0.124	116
59983.00	B	SN2023axu_B_01_02_1	15.131	0.003	-3.320	0.297	501
59983.00	B	SN2023axu_B_01_02_2	15.140	0.003	-3.406	0.299	501
59983.00	V	SN2023axu_V_01_02_1	14.679	0.003	-2.895	0.292	501
59983.00	V	SN2023axu_V_01_02_2	14.671	0.003	-3.055	0.291	501
59983.00	R	SN2023axu_R_01_02_1	14.230	0.002	-2.507	0.332	501
59983.00	R	SN2023axu_R_01_02_2	14.224	0.002	-2.557	0.377	501
59983.00	I	SN2023axu_I_01_1	14.041	0.005	-3.589	0.285	501
59983.00	I	SN2023axu_I_02_1	14.035	0.003	-3.024	0.303	501
59985.00	U	sn2023axu_U_01_03_1	14.773	0.006	-5.491	0.131	115
59985.00	U	sn2023axu_U_01_03_2	14.757	0.006	-5.506	0.172	114
59985.00	U	sn2023axu_U_01_03_3	14.769	0.006	-5.591	0.136	116
59985.00	B	sn2023axu_B_01_03_1	15.189	0.004	-3.678	0.240	501
59985.00	B	sn2023axu_B_01_03_2	15.198	0.004	-3.653	0.246	501
59985.00	B	sn2023axu_B_01_03_3	15.186	0.003	-3.431	0.242	501
59985.00	V	sn2023axu_V_01_03_1	14.691	0.002	-3.161	0.270	501
59985.00	V	sn2023axu_V_01_03_2	14.699	0.002	-3.100	0.235	501
59985.00	V	sn2023axu_V_01_03_3	14.695	0.002	-3.003	0.286	501
59985.00	R	sn2023axu_R_01_1	14.246	0.002	-2.734	0.253	501
59985.00	R	sn2023axu_R_02_03_1	14.228	0.002	-2.599	0.330	501
59985.00	R	sn2023axu_R_02_03_2	14.232	0.002	-2.653	0.319	501
59985.00	I	sn2023axu_I_01_03_1	14.030	0.002	-3.093	0.308	501
59985.00	I	sn2023axu_I_01_03_2	14.037	0.002	-3.127	0.275	501
59985.00	I	sn2023axu_I_01_03_3	14.035	0.002	-3.107	0.320	501
59990.00	U	2023axu_U_01_1	15.177	0.005	-5.390	0.139	115
59990.00	U	2023axu_U_01_2	15.180	0.008	-6.175	0.153	112
59990.00	U	2023axu_U_02_1	15.159	0.005	-5.354	0.123	112
59990.00	B	2023axu_B_01_1	15.289	0.002	-3.384	0.195	500
59990.00	B	2023axu_B_01_2	15.291	0.003	-3.330	0.234	500
59990.00	V	2023axu_V_01_1	14.692	0.002	-2.863	0.292	501
59990.00	V	2023axu_V_01_2	14.689	0.002	-2.902	0.272	501
59990.00	R	2023axu_R_01_1	14.200	0.001	-2.522	0.365	501
59990.00	R	2023axu_R_01_2	14.220	0.001	-2.519	0.313	501
59990.00	I	2023axu_I_01_1	13.966	0.002	-2.973	0.352	501
59990.00	I	2023axu_I_01_2	13.974	0.002	-2.959	0.357	501
60029.00	U	SN2023axu300s_U_1-2_1	17.195	0.019	-5.475	0.369	118
60029.00	U	SN2023axu300s_U_1-2_2	17.240	0.020	-5.489	0.123	117
60029.00	B	SN2023axu300s_B_1-2_1	16.073	0.004	-3.331	0.253	498
60029.00	V	SN2023axu300s_V_1-2_1	14.986	0.002	-2.861	0.333	501
60029.00	V	SN2023axu300s_V_1-2_2	14.985	0.001	-2.867	0.334	501
60029.00	R	SN2023axu300s_R_1-2_1	14.380	0.001	-2.573	0.314	501
60029.00	R	SN2023axu300s_R_1-2_2	14.348	0.001	-2.588	0.502	501
60029.00	I	SN2023axu300s_I_1-2_1	14.030	0.001	-3.068	0.233	501
60029.00	I	SN2023axu300s_I_1-2_2	14.000	0.001	-3.047	0.316	501
60031.00	U	2023axu_U_1-3_1	17.242	0.023	-5.428	0.376	121
60031.00	U	2023axu_U_1-3_2	17.256	0.024	-5.407	0.125	119
60031.00	U	2023axu_U_1-3_3	17.300	0.026	-5.452	0.125	119
60031.00	B	2023axu_B_1_1	16.093	0.005	-3.266	0.249	500
60031.00	V	2023axu_V_1-3_1	14.978	0.002	-2.817	0.388	501
60031.00	V	2023axu_V_1-3_2	14.970	0.002	-2.812	0.424	501
60031.00	V	2023axu_V_1-3_3	14.981	0.002	-2.812	0.436	501
60031.00	R	2023axu_R_1_1	14.374	0.002	-2.510	0.547	501
60031.00	R	2023axu_R_2-3_1	14.382	0.002	-2.506	0.398	501
60031.00	R	2023axu_R_2-3_2	14.378	0.002	-2.514	0.473	501
60031.00	I	2023axu_I_1_1	14.030	0.002	-2.971	0.484	501
60031.00	I	2023axu_I_2-3_1	14.044	0.002	-2.952	0.464	501
60031.00	I	2023axu_I_2-3_2	14.045	0.002	-2.949	0.395	501
60255.00	B	SN2023axu_B_01-03_3	19.789	0.039	-3.220	0.278	496
60255.00	V	SN2023axu_V_01-03_1	18.677	0.016	-2.752	0.247	501
60255.00	V	SN2023axu_V_01-03_2	18.719	0.018	-2.741	0.335	501
60255.00	V	SN2023axu_V_01-03_3	18.711	0.018	-2.733	0.289	501
60255.00	R	SN2023axu_R_01-02_2	17.429	0.006	-2.525	0.732	501
60255.00	I	SN2023axu_I_01-02_1	17.209	0.010	-2.915	0.399	501
60255.00	I	SN2023axu_I_01-02_2	17.240	0.010	-2.921	0.428	501
60267.00	V	SN2023axu_V_01_03_2	18.808	0.016	-2.586	0.240	501
60267.00	V	SN2023axu_V_01_03_3	18.779	0.016	-2.609	0.374	501
60267.00	R	SN2023axu_R_01_02_1	17.637	0.006	-2.298	0.428	501
60267.00	R	SN2023axu_R_01_02_2	17.649	0.006	-2.283	0.368	501
60267.00	I	SN2023axu_I_01_1	17.440	0.012	-2.725	0.309	501
60267.00	I	SN2023axu_I_02_1	17.437	0.013	-2.743	0.477	501
60269.00	V	2023axu_V_1	18.737	0.016	-2.634	0.279	501
60269.00	V	2023axu_V_2-3_1	18.738	0.016	-2.631	0.233	501
60269.00	R	2023axu_R_1	17.648	0.006	-2.325	0.359	501
60269.00	I	2023axu_I_1	17.432	0.010	-2.766	0.363	501
60296.00	R	2023axu_R_1	18.000	0.009	-2.382	0.259	501
60296.00	I	2023axu_I_1	17.807	0.020	-2.843	0.229	501
60299.00	R	SN2023axu_R_01_02_1	18.018	0.010	-2.427	0.315	501
60299.00	R	SN2023axu_R_01_02_2	18.053	0.011	-2.481	0.354	501
60299.00	I	SN2023axu_I_01_02_1	17.866	0.018	-2.864	0.404	501
60299.00	I	SN2023axu_I_01_02_2	17.783	0.019	-2.964	0.274	501
60315.00	R	SN2023axu_R_01_02_1	18.221	0.011	-2.440	0.345	501
60315.00	R	SN2023axu_R_01_02_2	18.249	0.010	-2.403	0.340	501
60315.00	I	SN2023axu_I_01_02_1	18.008	0.019	-2.839	0.486	501
60315.00	I	SN2023axu_I_01_02_2	17.917	0.018	-2.876	0.571	501
60347.00	R	SN2023axu_R_01_02_1	18.583	0.016	-2.488	0.310	501
60347.00	R	SN2023axu_R_01_02_2	18.605	0.015	-2.447	0.334	501
60347.00	I	SN2023axu_I_01_02_2	18.288	0.022	-2.896	0.353	501
60381.00	R	SN2023axu_R_1	19.159	0.031	-2.569	0.316	501
60381.00	R	SN2023axu_R_2	19.059	0.027	-2.589	0.375	501
