# MJD	Filter	File	Magnitude	Mag_Err	ZP_Mean	ZP_Std	N_ZP
59977.00	U	2023azx_U_1_1	16.270	0.013	-5.269	0.259	50
59977.00	B	2023azx_B_1_1	17.319	0.009	-3.132	0.190	99
59977.00	V	2023azx_V_1_1	17.231	0.009	-2.619	0.163	107
59977.00	R	2023azx_R_1_1	17.210	0.007	-2.317	0.156	103
59977.00	I	2023azx_I_1_1	17.212	0.017	-2.805	0.150	107
59985.00	R	sn2023azx_R_01_05_1	17.035	0.014	-2.612	0.044	98
59985.00	R	sn2023azx_R_01_05_2	17.023	0.014	-2.643	0.141	97
59985.00	R	sn2023azx_R_01_05_3	17.035	0.016	-2.731	0.200	95
59985.00	R	sn2023azx_R_01_05_4	16.950	0.024	-3.067	0.137	95
59985.00	R	sn2023azx_R_01_05_5	17.024	0.026	-3.080	0.055	89
59990.00	U	2023azx_U_01_1	16.861	0.014	-5.524	0.042	62
59990.00	B	2023azx_B_01_1	17.588	0.008	-3.371	0.227	108
59990.00	V	2023azx_V_01_1	17.335	0.008	-2.831	0.048	109
59990.00	R	2023azx_R_01_1	17.196	0.007	-2.544	0.039	106
59990.00	I	2023azx_I_01_1	17.118	0.013	-2.995	0.042	105
60030.00	B	sn2023azx_B_01_02_1	18.580	0.014	-3.277	0.054	104
60030.00	B	sn2023azx_B_01_02_2	18.648	0.016	-3.271	0.049	104
60030.00	V	sn2023azx_V_01_02_1	18.009	0.010	-2.865	0.266	105
60030.00	V	sn2023azx_V_01_02_2	17.945	0.009	-2.864	0.040	105
60030.00	R	sn2023azx_R_01_02_1	17.824	0.008	-2.513	0.038	101
60030.00	R	sn2023azx_R_01_02_2	17.844	0.008	-2.494	0.045	101
60030.00	I	sn2023azx_I_01_1	17.603	0.013	-3.003	0.417	102
60030.00	I	sn2023azx_I_02_1	17.602	0.013	-2.998	0.407	103
60031.00	U	2023azx_U_01-03_2	18.388	0.038	-5.476	0.043	64
60031.00	B	2023azx_B_01-03_1	18.629	0.016	-3.308	0.058	103
60031.00	B	2023azx_B_01-03_2	18.578	0.016	-3.343	0.058	105
60031.00	B	2023azx_B_01-03_3	18.596	0.015	-3.319	0.057	102
60031.00	V	2023azx_V_01-03_1	18.011	0.011	-2.813	0.039	100
60031.00	V	2023azx_V_01-03_2	18.005	0.010	-2.811	0.040	102
60031.00	V	2023azx_V_01-03_3	18.031	0.011	-2.813	0.039	102
60031.00	R	2023azx_R_01-03_1	17.882	0.010	-2.483	0.042	99
60031.00	R	2023azx_R_01-03_2	17.860	0.010	-2.481	0.041	98
60031.00	R	2023azx_R_01-03_3	17.857	0.010	-2.495	0.079	100
60031.00	I	2023azx_I_01-03_1	17.596	0.015	-3.007	0.192	101
60031.00	I	2023azx_I_01-03_2	17.587	0.015	-2.978	0.039	98
60031.00	I	2023azx_I_01-03_3	17.642	0.014	-2.965	0.044	97
60046.00	B	sn2023azx_B_01_1	18.794	0.021	-3.505	0.050	100
60046.00	V	sn2023azx_V_01_1	18.121	0.016	-3.007	0.035	101
60046.00	R	sn2023azx_R_01_1	17.811	0.012	-2.700	0.038	100
60046.00	I	sn2023azx_I_01_1	17.488	0.020	-3.146	0.025	100
60047.00	B	2023azx_B_1-2_1	18.816	0.025	-3.595	0.051	102
60047.00	V	2023azx_V_1-2_1	18.114	0.016	-3.032	0.032	105
60047.00	V	2023azx_V_1-2_2	18.150	0.017	-3.048	0.033	105
60047.00	R	2023azx_R_1-2_1	17.792	0.011	-2.691	0.027	103
60047.00	R	2023azx_R_1-2_2	17.830	0.012	-2.697	0.028	103
60047.00	I	2023azx_I_1-2_1	17.627	0.018	-3.108	0.026	103
60047.00	I	2023azx_I_1-2_2	17.533	0.018	-3.152	0.392	103
60062.00	V	SN2023azx_V_01_02_2	18.044	0.036	-3.422	0.046	104
60062.00	R	SN2023azx_R_01_02_1	17.843	0.027	-3.026	0.032	107
60062.00	R	SN2023azx_R_01_02_2	17.801	0.023	-2.971	0.029	105
60062.00	I	SN2023azx_I_01_02_1	17.494	0.026	-3.353	0.027	105
60062.00	I	SN2023azx_I_01_02_2	17.518	0.028	-3.359	0.042	106
60084.00	B	SN2023azx_B_2	18.681	0.033	-4.097	0.059	97
60084.00	V	SN2023azx_V_1	18.031	0.021	-3.452	0.042	107
60084.00	V	SN2023azx_V_2	18.091	0.024	-3.442	0.041	107
60084.00	R	SN2023azx_R_1	17.707	0.014	-3.065	0.032	105
60084.00	R	SN2023azx_R_2	17.795	0.015	-3.032	0.033	106
60084.00	I	SN2023azx_I_1	17.477	0.024	-3.483	0.035	106
60084.00	I	SN2023azx_I_2	17.486	0.024	-3.468	0.032	105
