# MJD	Filter	File	Magnitude	Mag_Err	ZP_Mean	ZP_Std	N_ZP
59977.00	U	2023bee_U_1_1	16.115	0.011	-5.039	0.048	75
59977.00	B	2023bee_B_1_1	16.326	0.005	-3.020	0.075	186
59977.00	V	2023bee_V_1_1	16.121	0.004	-2.584	0.152	198
59977.00	R	2023bee_R_1_1	16.102	0.004	-2.272	0.084	179
59977.00	I	2023bee_I_!_1	16.211	0.008	-2.774	0.170	194
59983.00	U	SN2023bee_U_01_1	13.285	0.002	-5.092	0.311	74
59983.00	B	SN2023bee_B_01_1	13.901	0.001	-3.049	0.071	187
59983.00	V	SN2023bee_V_01_1	13.821	0.001	-2.607	0.406	192
59983.00	R	SN2023bee_R_01_1	13.802	0.001	-2.341	0.419	191
59983.00	I	SN2023bee_I_01_1	13.995	0.002	-2.882	0.466	190
59985.00	U	sn2023bee_U_01_03_1	12.962	0.003	-5.372	0.289	73
59985.00	U	sn2023bee_U_01_03_2	12.964	0.003	-5.348	0.300	70
59985.00	U	sn2023bee_U_01_03_3	12.971	0.003	-5.352	0.292	72
59985.00	B	sn2023bee_B_01_03_1	13.608	0.002	-3.206	0.084	172
59985.00	B	sn2023bee_B_01_03_2	13.590	0.002	-3.266	0.072	158
59985.00	B	sn2023bee_B_01_03_3	13.606	0.002	-3.213	0.081	169
59985.00	V	sn2023bee_V_01_03_1	13.555	0.002	-2.722	0.107	198
59985.00	V	sn2023bee_V_01_03_2	13.538	0.002	-2.730	0.284	196
59985.00	V	sn2023bee_V_01_03_3	13.546	0.002	-2.727	0.158	196
59985.00	I	sn2023bee_I_01_03_1	13.761	0.003	-2.914	0.154	208
59985.00	I	sn2023bee_I_01_03_2	13.789	0.003	-2.899	0.111	203
59985.00	I	sn2023bee_I_01_03_3	13.772	0.003	-2.921	0.091	208
59988.00	U	SN2023bee_U_01_1	12.761	0.001	-5.166	0.045	67
59988.00	B	SN2023bee_B_01_1	13.388	0.001	-3.162	0.104	190
59988.00	V	SN2023bee_V_01_1	13.319	0.001	-2.664	0.100	189
59988.00	R	SN2023bee_R_01_1	13.344	0.001	-2.354	0.099	184
59988.00	I	SN2023bee_I_01_1	13.686	0.001	-2.871	0.096	188
59990.00	U	2023bee_U_01_1	12.711	0.001	-5.236	0.033	75
59990.00	B	2023bee_B_01_1	13.267	0.001	-3.184	0.084	198
59990.00	V	2023bee_V_01_1	13.185	0.001	-2.728	0.107	203
59990.00	R	2023bee_R_01_1	13.193	0.001	-2.476	0.364	196
59990.00	I	2023bee_I_01_1	13.636	0.001	-2.949	0.093	198
59992.00	U	SN2023bee_U_1	12.757	0.002	-5.557	0.045	77
59992.00	B	SN2023bee_B_1	13.250	0.001	-3.357	0.089	206
59992.00	V	SN2023bee_V_1	13.131	0.001	-2.902	0.108	206
59992.00	R	SN2023bee_R_1	13.146	0.001	-2.679	0.082	198
59992.00	I	SN2023bee_I_1	13.601	0.001	-3.114	0.351	200
60031.00	U	2023bee_U_01-02_1	15.897	0.007	-5.233	0.046	75
60031.00	U	2023bee_U_01-02_2	15.895	0.007	-5.227	0.047	76
60031.00	U	2023bee_U_03-04_1	15.886	0.007	-5.242	0.049	76
60031.00	U	2023bee_U_03-04_2	15.907	0.007	-5.258	0.047	76
60031.00	B	2023bee_B_01-03_1	15.885	0.003	-3.168	0.089	199
60031.00	B	2023bee_B_01-03_2	15.883	0.003	-3.213	0.068	198
60031.00	V	2023bee_V_01-03_1	14.852	0.001	-2.705	0.125	200
60031.00	V	2023bee_V_01-03_2	14.835	0.002	-2.723	0.217	203
60031.00	V	2023bee_V_01-03_3	14.856	0.002	-2.705	0.098	203
60031.00	R	2023bee_R_01-03_1	14.556	0.002	-2.389	0.317	204
60031.00	R	2023bee_R_01-03_2	14.550	0.001	-2.413	0.093	204
60031.00	R	2023bee_R_01-03_3	14.482	0.002	-2.467	0.623	204
60031.00	I	2023bee_I_01-03_1	14.342	0.002	-2.940	0.427	200
60031.00	I	2023bee_I_01-03_2	14.368	0.002	-2.909	0.186	189
60031.00	I	2023bee_I_01-03_3	14.368	0.002	-2.916	0.165	200
60047.00	U	2023bee_U_01_1	16.247	0.011	-5.764	0.047	72
60047.00	B	2023bee_B_01_1	16.269	0.004	-3.542	0.087	191
60047.00	V	2023bee_V_01_1	15.441	0.002	-2.989	0.402	194
60047.00	I	2023bee_I_01_1	15.235	0.003	-3.115	0.430	187
60048.00	U	SN2023bee_U_01-02_1	16.269	0.012	-5.761	0.044	76
60048.00	U	SN2023bee_U_01-02_2	16.249	0.011	-5.778	0.045	75
60048.00	B	SN2023bee_B_01-02_1	16.286	0.004	-3.629	0.092	198
60048.00	B	SN2023bee_B_01-02_2	16.288	0.004	-3.606	0.089	201
60048.00	V	SN2023bee_V_01-02_1	15.488	0.002	-3.034	0.084	202
60048.00	V	SN2023bee_V_01-02_2	15.481	0.003	-3.049	0.091	202
60048.00	R	SN2023bee_R_01-02_1	15.216	0.002	-2.728	0.419	192
60048.00	R	SN2023bee_R_01-02_2	15.200	0.002	-2.723	0.438	192
60048.00	I	SN2023bee_I_01-02_1	15.296	0.003	-3.277	0.411	192
60048.00	I	SN2023bee_I_01-02_2	15.279	0.003	-3.167	0.428	191
