# MJD	Filter	File	Magnitude	Mag_Err	ZP_Mean	ZP_Std	N_ZP
60255.00	B	SN2023rbk_B_01-02_1	18.847	0.013	-3.040	0.297	461
60255.00	B	SN2023rbk_B_01-02_2	18.817	0.013	-3.039	0.281	459
60255.00	V	SN2023rbk_V_01-02_1	17.943	0.007	-2.545	0.319	462
60255.00	V	SN2023rbk_V_01-02_2	17.955	0.007	-2.532	0.316	469
60255.00	R	SN2023rbk_R_01-02_1	17.452	0.006	-2.275	0.401	457
60255.00	R	SN2023rbk_R_01-02_2	17.449	0.006	-2.279	0.447	449
60255.00	I	SN2023rbk_I_01-02_1	17.123	0.009	-2.785	0.496	472
60255.00	I	SN2023rbk_I_01-02_2	17.101	0.009	-2.780	0.414	464
60257.00	B	SN2023rbk_B_1-3_1	18.948	nan	-2.939	0.312	469
60257.00	B	SN2023rbk_B_1-3_2	18.922	0.013	-2.953	0.349	472
60257.00	B	SN2023rbk_B_1-3_3	18.919	0.013	-2.939	0.340	472
60257.00	V	SN2023rbk_V_1-3_1	17.924	0.006	-2.553	0.394	473
60257.00	V	SN2023rbk_V_1-3_2	17.952	0.006	-2.526	0.309	456
60257.00	V	SN2023rbk_V_1-3_3	17.932	0.006	-2.531	0.300	468
60257.00	R	SN2023rbk_R_1-3_1	17.483	0.005	-2.241	0.371	437
60257.00	R	SN2023rbk_R_1-3_2	17.493	0.004	-2.227	0.366	437
60257.00	R	SN2023rbk_R_1-3_3	17.408	0.004	-2.254	0.331	456
60257.00	I	SN2023rbk_I_1-3_1	17.111	0.007	-2.807	0.535	446
60257.00	I	SN2023rbk_I_1-3_2	17.165	0.007	-2.766	0.390	462
60257.00	I	SN2023rbk_I_1-3_3	17.106	0.007	-2.811	0.544	466
60267.00	B	SN2023rbk_B_01_03_2	18.988	0.016	-2.977	0.325	475
60267.00	B	SN2023rbk_B_01_03_3	18.977	nan	-2.963	0.359	471
60267.00	V	SN2023rbk_V_01_03_1	17.945	0.008	-2.599	0.415	482
60267.00	V	SN2023rbk_V_01_03_2	17.976	0.008	-2.577	0.368	479
60267.00	R	SN2023rbk_R_01_03_1	17.605	0.006	-2.242	0.367	450
60267.00	R	SN2023rbk_R_01_03_2	17.492	0.006	-2.283	0.424	448
60267.00	R	SN2023rbk_R_01_03_3	17.466	0.006	-2.309	0.460	454
60267.00	I	SN2023rbk_I_01_03_1	17.165	0.009	-2.768	0.330	450
60267.00	I	SN2023rbk_I_01_03_2	17.195	0.009	-2.771	0.444	456
60267.00	I	SN2023rbk_I_01_03_3	17.196	0.009	-2.763	0.395	450
60269.00	B	2023rbk_B_1-3_1	18.889	0.023	-3.060	0.266	473
60269.00	B	2023rbk_B_1-3_2	18.877	0.022	-3.037	0.326	481
60269.00	V	2023rbk_V_1-3_1	17.960	0.010	-2.674	0.428	501
60269.00	V	2023rbk_V_1-3_2	18.114	0.010	-2.553	0.333	484
60269.00	V	2023rbk_V_1-3_3	18.086	0.010	-2.562	0.319	484
60269.00	I	2023rbk_I_1	17.209	0.008	-2.779	0.352	447
60294.00	V	SN2023rbk_V_1-2_2	18.447	0.012	-2.683	0.333	474
60294.00	R	SN2023rbk_R_1-2_1	18.073	0.009	-2.352	0.337	464
60294.00	R	SN2023rbk_R_1-2_2	18.128	0.009	-2.324	0.288	463
60294.00	I	SN2023rbk_I_1_1	17.611	0.013	-2.889	0.357	481
60294.00	I	SN2023rbk_I_2_1	17.612	0.013	-2.886	0.412	476
60296.00	I	2023rbk_I_1	17.550	0.010	-2.927	0.396	495
60308.00	R	2023rbk_R_1	18.136	0.012	-2.297	0.363	446
