# MJD	Filter	File	Magnitude	Mag_Err	ZP_Mean	ZP_Std	N_ZP
60255.00	B	SN2023rvj_B_01-02_1	18.528	0.009	-2.918	0.102	201
60255.00	B	SN2023rvj_B_01-02_2	18.540	0.010	-2.929	0.100	199
60255.00	V	SN2023rvj_V_01-02_1	17.468	0.005	-2.504	0.438	210
60255.00	V	SN2023rvj_V_01-02_2	17.468	0.005	-2.509	0.428	212
60255.00	R	SN2023rvj_R_01-02_1	16.938	0.004	-2.282	0.463	206
60255.00	R	SN2023rvj_R_01-02_2	17.043	0.004	-2.198	0.235	200
60255.00	I	SN2023rvj_I_01-02_1	16.853	0.007	-2.720	0.215	178
60255.00	I	SN2023rvj_I_01-02_2	16.802	0.007	-2.727	0.262	206
60257.00	B	SN2023rvj_B_1-3_1	18.616	0.011	-3.061	0.053	199
60257.00	B	SN2023rvj_B_1-3_2	18.608	0.011	-3.053	0.056	198
60257.00	B	SN2023rvj_B_1-3_3	18.588	0.011	-3.063	0.093	198
60257.00	V	SN2023rvj_V_1-3_1	17.547	0.005	-2.597	0.136	205
60257.00	V	SN2023rvj_V_1-3_2	17.512	0.005	-2.638	0.419	207
60257.00	V	SN2023rvj_V_1-3_3	17.539	0.005	-2.602	0.141	206
60257.00	R	SN2023rvj_R_1-3_1	17.039	0.004	-2.304	0.240	190
60257.00	R	SN2023rvj_R_1-3_2	17.022	0.004	-2.300	0.314	190
60257.00	R	SN2023rvj_R_1-3_3	17.031	0.004	-2.294	0.244	190
60257.00	I	SN2023rvj_I_1-3_1	16.816	0.006	-2.819	0.463	193
60257.00	I	SN2023rvj_I_1-3_2	16.864	0.006	-2.776	0.236	192
60257.00	I	SN2023rvj_I_1-3_3	16.856	0.006	-2.790	0.241	193
60269.00	B	2023rvj_B_1-3_1	19.147	0.030	-2.949	0.256	194
60269.00	B	2023rvj_B_1-3_2	19.026	0.029	-2.996	0.321	206
60269.00	B	2023rvj_B_4-5_1	18.994	0.027	-2.998	0.312	203
60269.00	B	2023rvj_B_4-5_2	19.051	0.027	-2.962	0.304	196
60269.00	V	2023rvj_V_1	17.920	0.011	-2.523	0.238	204
60269.00	R	2023rvj_R_1	17.379	0.008	-2.192	0.171	185
60269.00	I	2023rvj_I_1	17.108	0.013	-2.702	0.225	191
60294.00	V	SN2023rvj_V_1	19.368	0.021	-2.561	0.115	211
60294.00	R	SN2023rvj_R_1	18.603	0.012	-2.229	0.244	207
60294.00	I	SN2023rvj_I_1	18.319	0.021	-2.694	0.202	209
60308.00	R	2023rvj_R_1	18.703	0.012	-2.344	0.425	207
60308.00	I	2023rvj_I_1	18.397	0.020	-2.803	0.163	207
