# MJD	Filter	File	Magnitude	Mag_Err	ZP_Mean	ZP_Std	N_ZP
60269.00	U	2023xtg_U_1	16.054	0.010	-5.165	0.035	30
60269.00	U	2023xtg_U_2-3_1	16.031	0.009	-5.142	0.041	34
60269.00	U	2023xtg_U_2-3_2	16.060	0.009	-5.137	0.041	34
60269.00	B	2023xtg_B_1	16.271	0.004	-3.061	0.057	40
60269.00	B	2023xtg_B_2_1	16.256	0.004	-3.061	0.061	39
60269.00	V	2023xtg_V_1	16.007	0.003	-2.571	0.143	50
60269.00	V	2023xtg_V_2_1	15.964	0.003	-2.623	0.286	51
60269.00	R	2023xtg_R_1	15.893	0.004	-2.253	0.119	51
60269.00	R	2023xtg_R_2_1	15.871	0.004	-2.270	0.123	50
60269.00	I	2023xtg_I_1	16.093	0.007	-2.721	0.084	51
60269.00	I	2023xtg_I_2_1	16.107	0.007	-2.726	0.088	50
60296.00	B	2023xtg_B_1	17.970	0.013	-3.322	0.081	45
60296.00	V	2023xtg_V_1	16.774	0.005	-2.778	0.241	52
60296.00	R	2023xtg_R_1	16.434	0.003	-2.345	0.572	52
60296.00	I	2023xtg_I_1	16.285	0.005	-2.789	0.143	50
60308.00	V	2023xtg_V_1	17.715	0.011	-2.690	0.054	50
60308.00	R	2023xtg_R_1	17.287	0.008	-2.333	0.077	50
60308.00	I	2023xtg_I_1	17.081	0.012	-2.792	0.051	50
60315.00	B	SN2023xtg_B_01_02_1	19.009	0.024	-3.344	0.056	45
60315.00	B	SN2023xtg_B_01_02_2	19.051	0.024	-3.345	0.084	46
60315.00	V	SN2023xtg_V_01_02_1	17.988	0.011	-2.725	0.072	52
60315.00	V	SN2023xtg_V_01_02_2	17.968	0.011	-2.773	0.163	52
60315.00	R	SN2023xtg_R_01_02_1	17.601	0.010	-2.388	0.067	51
60315.00	R	SN2023xtg_R_01_02_2	17.623	0.011	-2.396	0.064	51
60315.00	I	SN2023xtg_I_01_02_1	17.473	0.019	-2.819	0.090	52
60315.00	I	SN2023xtg_I_01_02_2	17.421	0.019	-2.820	0.088	51
60324.00	V	SN2023xtg_V_02_1	18.198	0.018	-3.007	0.236	56
60324.00	V	SN2023xtg_V_02_2	18.212	0.018	-3.004	0.266	56
60324.00	R	SN2023xtg_R_02_1	17.914	0.013	-2.519	0.048	53
60324.00	R	SN2023xtg_R_02_2	17.900	0.013	-2.535	0.051	53
