# MJD	Filter	File	Magnitude	Mag_Err	ZP_Mean	ZP_Std	N_ZP
60381.00	U	SN2024cld_U_1	13.679	0.009	-7.939	2.141	17
60381.00	B	SN2024cld_B_1	14.601	0.006	-5.195	2.276	27
60381.00	V	SN2024cld_V_1	13.864	0.004	-4.781	1.562	46
60381.00	R	SN2024cld_R_1	13.006	0.004	-5.039	1.770	53
60381.00	I	SN2024cld_I_1	12.797	0.005	-5.406	1.865	44
60409.00	V	SN2024cld_V_01_1	14.841	0.008	-5.192	1.449	59
60409.00	R	SN2024cld_R_01_1	14.440	0.006	-4.661	1.476	57
60409.00	I	SN2024cld_I_01_1	13.759	0.007	-5.310	1.546	67
60458.00	B	SN2024cld_B_01-02_2	17.306	0.042	-5.159	1.521	44
60458.00	V	SN2024cld_V_01-02_1	16.489	0.018	-4.255	1.002	67
60458.00	V	SN2024cld_V_01-02_2	16.360	0.017	-4.364	1.134	67
60458.00	R	SN2024cld_R_01-02_1	15.219	0.010	-4.365	1.329	69
60458.00	R	SN2024cld_R_01-02_2	15.533	0.009	-4.027	1.107	58
60458.00	I	SN2024cld_I_01-02_1	14.862	0.011	-4.702	1.084	61
60458.00	I	SN2024cld_I_01-02_2	14.831	0.010	-4.685	1.141	62
60461.00	B	SN2024cld_B_01_03_2	17.448	0.038	-5.474	1.223	60
60461.00	B	SN2024cld_B_01_03_3	17.611	0.046	-5.520	1.200	59
60461.00	V	SN2024cld_V_01_03_1	16.846	0.018	-4.402	0.968	66
60461.00	V	SN2024cld_V_01_03_2	16.746	0.018	-4.478	0.932	76
60461.00	V	SN2024cld_V_01_03_3	16.816	0.019	-4.437	0.846	71
60461.00	R	SN2024cld_R_01_03_1	15.845	0.009	-4.140	1.063	54
60461.00	R	SN2024cld_R_01_03_2	15.762	0.009	-4.219	1.213	55
60461.00	R	SN2024cld_R_01_03_3	15.650	0.009	-4.283	1.255	62
60461.00	I	SN2024cld_I_01_03_1	15.413	0.011	-4.489	0.924	59
60461.00	I	SN2024cld_I_01_03_2	15.315	0.011	-4.600	1.149	57
60461.00	I	SN2024cld_I_01_03_3	15.305	0.012	-4.619	1.090	59
