# MJD	Filter	File	Magnitude	Mag_Err	ZP_Mean	ZP_Std	N_ZP
60381.00	U	SN2024drv_U_1	14.771	0.004	-5.141	0.057	33
60381.00	B	SN2024drv_B_1	-inf	0.003	-inf	nan	70
60381.00	V	SN2024drv_V_1	15.125	0.003	-2.766	0.309	69
60381.00	R	SN2024drv_R_1	15.025	0.003	-2.397	0.132	63
60409.00	U	SN2024drv_U_01_02_2	17.462	0.039	-6.493	0.055	36
60409.00	B	SN2024drv_B_01_02_1	16.900	0.014	-4.210	0.076	59
60409.00	B	SN2024drv_B_01_02_2	16.907	0.014	-4.228	0.065	61
60409.00	V	SN2024drv_V_01_02_1	16.125	0.009	-3.728	0.120	72
60409.00	V	SN2024drv_V_01_02_2	16.104	0.009	-3.701	0.114	70
60409.00	R	SN2024drv_R_01_02_1	15.688	0.006	-3.223	0.040	70
60409.00	R	SN2024drv_R_01_02_2	15.664	0.006	-3.243	0.041	71
60409.00	I	SN2024drv_I_01_02_1	-inf	0.009	-inf	nan	73
60409.00	I	SN2024drv_I_01_02_2	15.518	0.009	-3.630	0.422	72
60458.00	V	SN2024drv_V_01-02_1	17.738	0.020	-3.042	0.037	71
60458.00	V	SN2024drv_V_01-02_2	17.783	0.022	-3.059	0.033	72
60458.00	R	SN2024drv_R_01-02_1	17.007	0.012	-2.718	0.036	70
60458.00	R	SN2024drv_R_01-02_2	16.991	0.012	-2.712	0.034	69
60458.00	I	SN2024drv_I_01-02_1	16.670	0.017	-3.190	0.314	71
60458.00	I	SN2024drv_I_01-02_2	16.712	0.017	-3.145	0.033	70
60461.00	V	2024drv_V_01-02_1	17.855	0.027	-3.650	0.039	71
60461.00	V	2024drv_V_01-02_2	17.924	0.028	-3.633	0.037	72
60461.00	R	2024drv_R_01-02_1	17.201	0.016	-3.186	0.030	71
60461.00	R	2024drv_R_01-02_2	17.130	0.015	-3.161	0.025	71
