# MJD	Filter	File	Magnitude	Mag_Err	ZP_Mean	ZP_Std	N_ZP
60322.00	U	SN2024dy_U_01_02_1	15.621	0.004	-4.939	0.040	10
60322.00	U	SN2024dy_U_01_02_2	15.587	0.004	-4.915	0.092	10
60322.00	B	SN2024dy_B_01_02_1	16.085	0.003	-3.235	0.479	51
60322.00	B	SN2024dy_B_01_02_2	16.188	0.003	-3.110	0.393	47
60322.00	V	SN2024dy_V_01_02_1	16.018	0.002	-2.625	0.383	49
60322.00	V	SN2024dy_V_01_02_2	16.096	0.002	-2.541	0.243	46
60322.00	R	SN2024dy_R_01_02_1	15.950	0.002	-2.219	0.188	41
60322.00	R	SN2024dy_R_01_02_2	15.989	0.002	-2.183	0.055	44
60322.00	I	SN2024dy_I_01_02_1	16.020	0.003	-2.648	0.062	43
60322.00	I	SN2024dy_I_01_02_2	15.976	0.003	-2.705	0.178	44
60347.00	U	SN2024dy_U_01_03_2	15.734	0.005	-5.103	0.054	10
60347.00	U	SN2024dy_U_01_03_3	15.604	0.005	-5.281	0.345	11
60347.00	B	SN2024dy_B_01_03_1	16.084	0.002	-3.180	0.363	47
60347.00	B	SN2024dy_B_01_03_2	16.100	0.002	-3.149	0.375	45
60347.00	B	SN2024dy_B_01_03_3	16.172	0.003	-3.103	0.216	44
60347.00	V	SN2024dy_V_01_03_1	15.663	0.002	-2.711	0.608	50
60347.00	V	SN2024dy_V_01_03_2	15.749	0.002	-2.655	0.252	49
60347.00	V	SN2024dy_V_01_03_3	15.689	0.002	-2.688	0.286	51
60347.00	R	SN2024dy_R_01_03_1	15.464	0.002	-2.358	0.297	48
60347.00	R	SN2024dy_R_01_03_2	15.403	0.002	-2.395	0.527	48
60347.00	R	SN2024dy_R_01_03_3	15.511	0.002	-2.300	0.060	47
60347.00	I	SN2024dy_I_01_03_1	15.264	0.002	-2.872	0.506	48
60347.00	I	SN2024dy_I_01_03_2	15.257	0.002	-2.876	0.379	49
60347.00	I	SN2024dy_I_01_03_3	15.317	0.002	-2.826	0.221	48
60412.00	U	2024dy_U_1	16.428	0.013	-5.956	0.126	11
60412.00	U	2024dy_U_2	16.335	0.013	-6.059	0.353	12
60412.00	U	2024dy_U_3	16.525	0.016	-6.171	0.058	12
60412.00	B	2024dy_B_1	16.711	0.005	-3.759	0.088	44
60412.00	V	2024dy_V_1	16.076	0.003	-3.125	0.151	50
60412.00	R	2024dy_R_1	15.633	0.003	-2.709	0.050	48
60412.00	I	2024dy_I_1	15.351	0.003	-3.168	0.192	47
